TICKER	FECHA	APERTURA	MAXIMO	MINIMO	ULTIMO	VOLUMEN
FDR	24/04/2015	2,9799	2,9799	2,8949	2,9599	12244
FDR	27/04/2015	2,9099	2,9149	2,9099	2,9099	13391
FDR	29/04/2015	2,8949	2,8999	2,8099	2,8399	46970
FDR	30/04/2015	2,8949	2,8949	2,7849	2,8099	61956
FDR	04/05/2015	2,8299	2,8599	2,8299	2,8599	8613
FDR	05/05/2015	2,8749	2,9399	2,8199	2,9099	81827
FDR	06/05/2015	2,9099	2,9249	2,8699	2,9099	8908
FDR	07/05/2015	2,8749	2,9199	2,8749	2,9099	13354
FDR	08/05/2015	2,9099	2,9099	2,9099	2,9099	24682
FDR	11/05/2015	2,9099	2,9449	2,8899	2,9249	6416
FDR	12/05/2015	2,9199	2,9499	2,9199	2,9499	11930
FDR	13/05/2015	2,9099	2,9499	2,9099	2,9299	2447
FDR	14/05/2015	2,9499	2,9499	2,9099	2,9399	4005
FDR	15/05/2015	2,9099	2,9399	2,8899	2,9399	3353
FDR	18/05/2015	2,9099	2,9349	2,8949	2,9349	5545
FDR	19/05/2015	2,9149	2,9399	2,8849	2,8899	34405
FDR	20/05/2015	2,9499	2,9599	2,8599	2,9049	12577
FDR	21/05/2015	2,9099	2,9599	2,9099	2,9199	8883
FDR	22/05/2015	2,9149	2,9149	2,8899	2,8999	3275
FDR	25/05/2015	2,8599	2,8949	2,8199	2,8949	7271
FDR	26/05/2015	2,8599	2,8949	2,8099	2,8149	1932
FDR	27/05/2015	2,8249	3,0099	2,8249	3,0199	19111
FDR	28/05/2015	2,9499	3,1099	2,9499	3,0199	70374
FDR	29/05/2015	3,0249	3,1649	3,0249	3,1499	27896
FDR	01/06/2015	3,0599	3,1899	3,0599	3,1299	69087
FDR	02/06/2015	3,1099	3,1499	2,9899	3,0699	114934
FDR	03/06/2015	3,0399	3,1499	3,0349	3,0649	12590
FDR	04/06/2015	3,0699	3,0699	3,0399	3,0399	86444
FDR	05/06/2015	3,0199	3,0199	2,9649	3,0199	75933
FDR	08/06/2015	2,9449	2,9599	2,9449	2,9499	12939
FDR	09/06/2015	2,9299	2,9999	2,9199	2,9499	29992
FDR	10/06/2015	2,9999	2,9999	2,9399	2,9999	15066
FDR	11/06/2015	2,9599	3,0699	2,9499	3,0399	19994
FDR	12/06/2015	3,0399	3,0399	2,9399	2,9499	25180
FDR	15/06/2015	2,9199	2,9799	2,9199	2,9349	13720
FDR	16/06/2015	2,9349	2,9799	2,9349	2,9349	52946
FDR	17/06/2015	2,9349	2,9999	2,9199	2,9799	6032
FDR	18/06/2015	2,9999	2,9999	2,9199	2,9249	6313
FDR	19/06/2015	2,9249	3,0149	2,9199	2,9599	79217
FDR	22/06/2015	2,9199	3,0099	2,9199	3,0099	7926
FDR	23/06/2015	2,9899	3,0599	2,9649	3,0349	15318
FDR	24/06/2015	3,0099	3,0999	2,9599	3,0999	4993
FDR	25/06/2015	2,9899	3,1099	2,9899	3,1049	28262
FDR	26/06/2015	3,0549	3,0549	3,0199	3,0499	108424
FDR	29/06/2015	2,8149	3,0049	2,8149	2,8399	97666
FDR	30/06/2015	2,8499	2,8699	2,8399	2,8649	13045
FDR	01/07/2015	2,9099	2,9999	2,8499	2,9299	43093
FDR	02/07/2015	2,9149	2,9699	2,9149	2,9649	10992
FDR	03/07/2015	2,9349	2,9349	2,9099	2,9099	25578
FDR	06/07/2015	2,9099	2,9399	2,9099	2,9149	9152
FDR	07/07/2015	2,9099	2,9149	2,9099	2,9149	6176
FDR	08/07/2015	2,9149	2,9149	2,9099	2,9099	9920
FDR	09/07/2015	2,9099	2,9999	2,9099	2,9899	8933
FDR	10/07/2015	2,9149	3,1049	2,9149	3,0999	102557
FDR	13/07/2015	3,0699	3,1049	3,0499	3,1049	50028
FDR	14/07/2015	3,0499	3,1049	3,0499	3,0999	62400
FDR	15/07/2015	2,9949	3,1099	2,9899	3,1099	54251
FDR	16/07/2015	3,1099	3,1499	3,0249	3,1399	21085
FDR	17/07/2015	3,1399	3,1399	3,0349	3,0599	15454
FDR	20/07/2015	3,0099	3,1099	3,0099	3,0999	17886
FDR	21/07/2015	3,1099	3,1499	3,1049	3,1499	217377
FDR	22/07/2015	3,1099	3,1499	3,1099	3,1499	13664
FDR	23/07/2015	3,1599	3,2499	3,1599	3,2299	95917
FDR	24/07/2015	3,2649	3,4499	3,2099	3,3149	132490
FDR	27/07/2015	3,5049	3,5049	3,3999	3,4149	85840
FDR	28/07/2015	3,4899	3,5549	3,3699	3,5049	67286
FDR	29/07/2015	3,5849	3,5849	3,3699	3,3699	62046
FDR	30/07/2015	3,4799	3,4799	3,1849	3,3649	46667
FDR	31/07/2015	3,3799	3,3799	3,2299	3,3149	45840
FDR	03/08/2015	3,3149	3,3599	3,2299	3,2999	9794
FDR	04/08/2015	3,2449	3,3549	3,2449	3,3499	9126
FDR	05/08/2015	3,2749	3,3099	3,2599	3,2899	8081
FDR	06/08/2015	3,2899	3,3249	3,2599	3,3099	8368
FDR	07/08/2015	3,3449	3,3299	3,1999	3,1999	60184
FDR	10/08/2015	3,3049	3,3049	3,2149	3,2399	5992
FDR	11/08/2015	3,2449	3,3549	3,2349	3,3299	15180
FDR	12/08/2015	3,2599	3,2699	3,2199	3,2599	24581
FDR	13/08/2015	3,2599	3,2599	3,2149	3,2499	7048
FDR	14/08/2015	3,2549	3,2549	3,1999	3,1999	2488
FDR	17/08/2015	3,2199	3,2449	3,2099	3,2349	13590
FDR	18/08/2015	3,2049	3,2549	3,1999	3,2449	18768
FDR	19/08/2015	3,2099	3,2449	3,2099	3,2449	2556
FDR	20/08/2015	3,2449	3,2449	3,1299	3,1349	8024
FDR	21/08/2015	3,1299	3,2099	3,1299	3,1849	25861
FDR	24/08/2015	3,1299	3,1299	2,9349	2,9399	19979
FDR	25/08/2015	2,9249	3,0599	2,9099	2,9399	35592
FDR	26/08/2015	2,9099	3,1099	2,9099	2,9599	12538
FDR	27/08/2015	3,0599	3,1049	2,9899	2,9899	28143
FDR	28/08/2015	2,9599	2,9649	2,9499	2,9599	16674
FDR	31/08/2015	2,9399	2,9699	2,9399	2,9599	1943
FDR	01/09/2015	2,9849	2,9899	2,9299	2,9299	3279
FDR	02/09/2015	2,9499	2,9499	2,9349	2,9449	2761
FDR	03/09/2015	2,9449	2,9449	2,9299	2,9299	7048
FDR	04/09/2015	2,9099	2,9299	2,8599	2,9099	9099
FDR	07/09/2015	2,9099	2,9149	2,8849	2,9099	3903
FDR	08/09/2015	2,9299	2,9699	2,9299	2,9599	9312
FDR	09/09/2015	2,9299	2,9599	2,9299	2,9399	4237
FDR	10/09/2015	2,9299	2,9449	2,9099	2,9449	6441
FDR	11/09/2015	2,9449	2,9449	2,9349	2,9349	2845
FDR	14/09/2015	2,9349	2,9399	2,9199	2,9299	3596
